driverId,constructorId,circuitId,statusId,grid,driver_experience,constructor_experience,driver_age,year,positionOrder,driver_avg_position,constructor_avg_position
13,3,18,96,8,229,1293,34,2015,20,12.6,11.4
30,6,1,1,1,37,179,35,2004,1,11.8,10.4
826,5,10,1,14,84,514,25,2019,3,11.4,13.6
21,22,7,1,4,196,112,25,1998,2,10.4,12.0
235,182,14,60,15,104,38,24,1969,10,3.8,6.2
808,207,4,11,18,42,9,27,2012,17,15.8,18.0
820,206,15,11,21,32,104,23,2014,17,17.4,17.8
177,56,7,12,6,104,66,31,1980,9,19.6,17.0
37,21,8,7,13,47,74,29,2000,17,17.4,14.4
212,34,43,3,15,0,305,25,1981,12,10.0,17.2
12,4,12,1,15,21,57,23,2008,11,9.6,8.6
200,21,43,12,13,26,539,32,1979,9,10.6,11.2
838,1,71,11,20,4,1592,25,2017,14,15.25,17.6
825,210,1,22,17,41,43,24,2017,15,15.8,16.4
14,1,13,1,4,85,205,33,2004,7,6.6,10.8
65,15,22,11,11,48,271,34,1998,10,17.0,12.4
158,4,34,1,2,83,386,25,1983,3,14.6,9.8
49,3,14,11,12,90,407,31,1998,7,11.2,8.0
50,18,22,12,17,15,104,31,2003,15,13.4,12.4
262,66,14,51,11,37,242,27,1969,12,13.4,13.8
77,6,7,4,4,35,489,35,1995,11,3.6,9.0
137,3,21,1,2,82,810,33,1986,2,8.4,12.6
18,1,3,131,14,288,1545,36,2016,20,12.0,15.6
112,50,70,13,25,110,46,30,1984,11,19.8,20.8
854,210,32,4,14,18,237,22,2021,19,17.6,18.0
277,59,34,11,22,6,67,30,1976,13,14.6,14.6
2,3,20,1,1,76,152,28,2005,2,7.4,5.6
330,80,49,16,20,2,34,32,1973,11,14.0,11.6
151,32,7,5,12,4,137,26,1990,14,18.25,10.4
181,54,70,20,25,50,56,30,1982,18,20.4,21.4
65,32,6,6,16,102,6,29,1994,12,7.4,12.0
154,210,17,1,10,126,86,32,2018,17,14.0,12.8
278,82,14,1,1,42,24,28,1971,6,14.8,10.4
15,7,15,1,14,13,27,35,2009,12,13.6,10.6
156,49,21,23,20,50,96,29,1986,15,12.0,19.0
170,22,32,12,6,13,483,32,1987,5,11.6,15.0
401,94,46,14,15,7,10,27,1964,6,15.8,11.4
44,16,19,11,13,65,167,35,2001,11,12.8,10.0
838,1,3,131,17,3,1590,25,2017,20,13.666666666666666,15.0
346,66,70,1,1,7,176,35,1971,1,8.8,13.2
2,15,9,11,10,127,124,25,2002,6,9.4,9.6
63,7,20,6,10,8,262,35,2002,17,13.2,16.0
341,6,13,5,6,65,1372,31,1965,18,4.8,7.6
8,1,22,1,4,139,278,23,2002,3,12.6,9.2
278,82,51,1,1,28,5,28,1972,3,12.4,12.4
619,87,9,15,18,2,62,40,1954,10,8.5,11.6
137,34,9,11,2,103,194,32,1985,4,10.8,7.6
250,34,39,11,9,26,445,30,1975,5,9.4,7.6
338,32,6,15,14,3,730,30,1972,14,12.666666666666666,9.8
612,113,19,1,27,4,123,32,1954,11,12.666666666666666,19.0
278,57,47,3,3,5,116,32,1976,19,11.0,11.0
20,5,7,1,19,23,47,20,2008,8,16.8,14.6
223,3,25,12,17,4,1031,39,1979,10,13.0,9.6
63,6,70,11,7,37,365,32,1999,9,9.6,7.2
35,16,4,9,6,87,178,29,2000,19,10.4,12.2
2,20,7,5,21,158,47,23,2000,20,16.0,14.0
817,1,9,1,6,198,1763,32,2021,5,9.4,5.2
23,17,22,1,13,178,303,22,1997,9,13.2,11.8
18,1,69,11,19,304,1578,36,2016,9,15.8,11.0
119,51,38,15,17,153,50,30,1984,12,18.6,18.8
828,207,70,12,20,7,93,23,2014,18,18.2,15.6
44,27,18,11,15,110,2,29,1996,6,9.6,8.5
35,2,1,1,19,2,109,35,2006,6,13.5,11.6
221,25,16,11,13,63,732,32,1976,2,12.4,17.2
166,25,32,13,25,29,380,32,1987,8,13.2,10.8
123,3,21,11,6,59,712,31,1989,4,11.2,17.0
12,4,1,20,14,0,1,23,2009,17,10.0,5.0
386,66,56,86,7,33,436,33,1963,18,2.8,4.6
208,1,45,15,23,6,1112,30,1977,13,28.8,7.2
3,3,4,1,11,38,76,21,2007,6,12.6,13.4
278,6,9,6,5,63,1306,26,1969,12,9.0,9.0
10,166,7,11,21,62,50,29,2011,16,20.6,19.4
177,3,43,1,8,65,936,33,1982,2,10.6,8.6
824,206,6,23,20,5,51,23,2013,19,16.0,18.0
140,6,29,11,12,71,835,30,1986,3,5.6,14.0
18,11,8,39,17,62,90,26,2006,17,12.0,11.8
44,27,14,12,6,153,88,28,1994,10,9.6,7.2
94,18,9,11,23,56,481,30,1991,9,11.6,15.2
69,28,21,14,21,21,8,25,1996,10,18.2,18.6
100,33,27,13,22,28,58,30,1993,11,17.4,10.2
55,22,4,1,4,71,142,32,1997,3,9.2,10.8
857,1,39,1,8,12,1856,22,2023,9,11.2,8.2
578,105,25,12,8,17,134,26,1956,3,4.4,8.4
39,164,6,12,22,33,87,35,2012,15,22.0,20.8
18,1,15,1,4,223,1416,32,2012,2,8.4,14.4
238,25,16,3,18,30,692,33,1977,18,12.2,10.0
815,1,9,36,13,45,1444,23,2013,20,10.6,11.6
172,27,14,12,8,143,590,33,1977,8,11.2,11.2
22,3,12,11,13,314,1119,39,2011,12,12.6,14.0
3,3,10,3,14,63,126,21,2006,20,14.4,14.4
669,105,13,11,13,1,263,39,1954,6,7.0,8.0
304,191,14,1,10,103,71,30,1966,3,9.2,6.0
825,210,9,5,19,151,307,30,2023,19,16.4,16.6
188,55,10,11,22,19,18,27,1983,11,20.0,19.4
221,25,14,1,16,28,654,34,1978,11,15.4,18.0
606,6,25,12,10,0,1576,28,1957,5,10.0,10.8
807,4,24,4,10,157,709,31,2018,20,12.4,12.6
30,22,8,1,3,204,244,25,1994,1,1.2,5.6
275,37,49,12,24,5,295,34,1975,6,21.2,17.2
22,6,22,1,4,156,312,29,2001,5,5.2,4.8
360,187,30,11,8,3,31,31,1969,5,11.333333333333334,10.4
342,200,46,62,25,5,42,34,1971,18,18.6,18.6
3,3,6,3,6,22,44,22,2008,16,9.4,12.4
231,64,40,7,11,61,66,27,1975,20,11.6,17.6
787,151,9,13,15,0,8,43,1950,7,10.0,13.0
437,87,9,8,16,24,15,28,1958,13,14.8,7.8
56,6,18,12,14,83,415,31,1997,16,7.8,8.6
250,37,38,24,13,67,431,27,1972,19,13.4,13.4
815,9,22,1,4,232,686,32,2022,2,3.8,3.2
71,3,27,1,2,77,503,35,1995,3,11.4,12.2
56,6,13,11,17,93,435,31,1997,10,13.8,7.4
119,51,14,43,13,139,22,31,1985,17,17.8,21.6
60,18,2,5,22,20,205,25,2000,13,14.6,14.8
63,25,18,11,11,77,65,29,1996,5,12.4,12.2
418,167,39,54,0,28,106,28,1960,19,16.0,15.0
57,1,4,5,3,119,520,25,1994,13,18.0,9.8
830,9,70,1,1,171,713,25,2023,1,1.2,3.0
64,15,4,7,12,21,217,29,1999,15,14.4,11.8
221,25,25,1,15,78,766,29,1974,6,11.4,12.4
154,210,13,1,11,95,24,30,2016,13,13.4,13.4
123,21,6,12,6,125,356,27,1985,9,10.8,16.4
84,25,70,101,17,135,407,27,1986,20,11.6,12.0
8,6,22,1,6,226,2047,35,2015,4,8.2,4.6
77,6,6,4,7,68,555,33,1993,14,15.4,12.8
71,3,21,23,2,101,549,32,1993,18,9.0,4.8
18,1,5,1,6,194,1358,31,2011,6,4.0,3.8
137,34,6,3,13,99,186,32,1985,14,10.8,18.4
20,117,70,4,11,267,29,34,2021,17,8.2,11.6
95,6,26,1,3,51,666,37,1990,2,12.4,2.4
197,67,9,11,20,81,6,31,1977,9,15.6,15.6
153,5,1,11,12,27,179,21,2011,11,10.8,11.2
20,6,69,1,6,175,2094,29,2016,4,8.0,10.8
278,57,30,12,18,0,111,32,1976,14,10.0,13.2
1,1,20,11,10,44,88,22,2007,9,2.0,3.4
123,27,8,20,9,17,145,35,1992,15,16.4,8.6
807,15,14,1,3,50,573,26,2013,5,13.0,14.6
18,3,7,11,18,162,328,20,2000,11,14.6,13.4
815,10,4,11,18,80,271,25,2015,13,9.8,13.4
842,214,21,11,15,136,145,28,2024,16,14.8,12.0
19,8,4,21,21,3,7,29,2008,18,16.666666666666668,15.4
329,37,14,6,12,11,390,33,1973,17,16.0,18.2
123,3,10,1,6,50,656,33,1990,6,11.6,11.8
501,118,58,37,7,40,63,34,1955,18,10.0,15.8
196,37,43,15,23,17,116,24,1982,9,19.4,14.6
105,25,43,1,12,189,507,25,1982,4,12.2,8.2
109,35,22,11,22,38,29,26,1992,9,14.2,12.8
830,9,9,4,1,129,629,23,2021,20,4.4,5.4
223,6,70,1,2,133,1289,30,1970,2,9.6,10.8
1,131,21,1,1,268,476,36,2021,2,1.4,5.4
289,180,13,86,14,79,75,39,1968,16,4.2,7.6
117,1,29,1,4,110,836,31,1986,1,8.6,9.4
30,6,20,1,2,4,113,37,2006,1,6.5,9.4
262,66,46,5,14,39,247,27,1969,15,13.6,13.0
233,58,38,11,18,24,64,27,1978,5,15.0,13.0
119,34,30,1,3,174,272,29,1983,1,12.2,10.2
2,17,22,11,16,100,70,27,2004,13,13.6,15.8
375,190,14,5,10,5,16,33,1967,17,9.6,13.8
848,3,39,11,19,95,1656,28,2024,14,13.6,14.2
197,27,43,4,10,1,416,36,1983,19,22.0,16.8
338,32,50,16,12,4,732,31,1972,14,13.0,5.6
397,176,39,80,15,3,16,32,1966,14,16.666666666666668,14.2
364,190,48,11,5,19,14,36,1967,3,10.4,15.0
830,9,4,1,2,123,617,23,2021,2,1.6,4.6
92,30,6,6,23,14,40,31,1994,14,20.2,26.0
137,22,33,1,5,0,329,38,1991,3,10.0,9.2
223,6,52,1,3,135,1295,31,1970,2,4.6,7.6
105,29,4,11,16,33,137,35,1992,5,12.8,15.6
4,214,24,47,10,357,86,41,2022,20,11.2,10.2
55,20,1,11,14,0,0,36,2001,9,10.0,10.0
231,1,36,20,2,8,1052,30,1978,15,15.6,8.6
79,25,22,20,13,47,126,32,1995,20,15.8,11.2
1,131,24,1,2,287,514,36,2021,2,2.2,4.6
175,4,38,13,17,28,346,36,1985,12,14.2,15.2
255,32,30,11,10,2,567,28,1977,12,13.0,12.6
4,117,77,1,4,381,145,42,2024,5,9.2,8.2
651,133,9,8,12,6,12,33,1953,20,15.8,16.4
832,6,9,1,10,129,2279,26,2021,6,6.4,9.4
810,166,2,13,24,2,5,25,2010,14,19.5,19.4
85,30,27,6,21,22,24,31,1995,18,16.4,20.8
852,213,24,1,6,65,165,23,2023,8,12.4,13.0
223,6,50,1,1,84,1178,34,1974,4,8.4,8.2
1,131,3,1,3,230,398,34,2019,1,2.2,2.8
280,200,9,11,17,39,20,28,1971,4,12.2,13.4
87,1,25,44,17,1,481,29,1995,20,6.0,8.8
139,35,6,11,12,3,39,29,1991,6,21.666666666666668,15.0
202,25,6,3,7,47,608,27,1979,15,8.8,7.4
586,105,14,13,15,7,195,42,1956,6,17.0,11.6
313,57,48,62,26,11,152,25,1973,20,17.6,17.6
680,6,67,5,19,2,1721,28,1954,18,10.5,13.0
525,113,19,1,21,8,177,26,1952,6,12.4,17.6
119,21,40,20,16,209,511,26,1980,14,11.0,9.4
131,17,21,6,23,4,445,29,1992,20,26.0,20.0
22,6,10,1,6,151,302,29,2001,2,6.0,2.0
747,105,14,6,24,3,433,40,1950,8,20.333333333333332,17.8
173,32,70,11,9,76,433,23,1981,7,9.2,18.4
813,3,11,12,17,10,1126,26,2011,16,16.6,15.4
64,15,7,1,18,22,219,29,1999,6,13.0,15.2
15,205,18,12,20,255,75,37,2011,18,19.0,16.8
697,105,39,11,13,1,325,50,1953,3,12.0,10.0
8,6,4,1,5,236,2067,36,2016,2,6.2,10.2
95,32,70,5,24,189,460,27,1980,17,15.4,16.2
22,17,6,12,16,277,414,21,1993,9,15.6,16.0
14,1,6,5,2,178,390,27,1998,18,2.6,4.6
822,3,73,1,8,64,1312,26,2016,6,6.8,11.0
501,105,25,12,9,19,72,35,1957,4,10.2,7.8
479,170,13,6,2,10,185,28,1960,16,10.0,6.2
81,18,22,20,20,68,526,22,1990,17,16.2,22.6
154,210,13,1,5,136,106,32,2018,7,9.4,8.6
356,172,58,11,9,84,126,36,1962,5,12.2,12.8
807,15,69,1,4,56,585,26,2013,6,10.4,13.6
852,213,80,6,20,64,163,23,2023,18,11.2,11.0
1,131,15,1,1,142,222,29,2014,1,5.4,5.6
304,1,50,1,3,34,1305,35,1972,3,7.6,8.8
165,44,34,8,26,11,57,33,1988,17,20.8,16.2
20,6,24,11,13,257,2257,33,2020,14,10.0,11.8
845,3,14,11,12,13,1406,23,2018,10,14.8,13.4
235,182,9,11,4,102,34,24,1969,2,7.8,8.4
95,6,14,1,4,49,662,37,1990,4,18.0,13.0
47,18,7,14,18,7,53,23,2004,10,15.6,13.2
364,95,6,3,5,61,20,31,1962,14,10.4,13.4
4,214,70,11,8,321,14,39,2021,9,10.8,11.4
30,6,9,1,3,80,265,33,2002,1,1.4,1.8
289,32,46,8,10,64,792,41,1970,16,11.8,15.8
625,127,55,5,15,4,3,39,1953,19,10.25,21.333333333333332
701,150,19,11,10,1,6,42,1950,2,15.0,18.6
15,4,18,5,6,124,250,27,2002,15,13.0,13.0
289,66,39,1,1,113,357,36,1965,4,3.2,5.2
820,206,22,11,18,14,68,22,2013,19,18.0,17.4
49,21,4,1,10,20,8,34,2002,6,15.6,17.6
94,18,26,12,17,22,396,33,1994,15,15.4,13.4
199,34,39,27,5,130,537,31,1973,18,9.2,16.0
71,21,8,13,17,39,171,36,1997,12,17.2,13.8
830,9,22,1,1,178,727,26,2023,1,1.8,7.0
848,3,22,9,16,54,1575,26,2022,20,13.8,15.6
842,5,71,1,16,41,525,23,2019,14,9.6,13.0
826,5,11,12,13,85,516,25,2019,15,10.6,9.0
328,196,52,17,11,68,35,29,1968,6,4.0,4.2
233,34,41,3,13,37,412,26,1977,16,11.0,9.8
68,25,21,5,15,19,6,24,1998,13,16.8,14.4
17,9,15,34,4,210,318,37,2013,15,4.2,2.6
64,21,18,6,22,34,127,27,1998,17,16.8,15.8
364,183,6,6,5,40,61,33,1964,11,2.6,8.2
22,17,22,20,10,254,368,23,1995,19,10.2,9.8
848,9,70,1,6,22,577,24,2020,4,8.6,8.8
233,37,46,1,6,60,285,25,1976,5,21.8,12.8
815,9,79,1,4,264,750,34,2024,4,2.8,5.2
56,19,2,47,12,18,105,35,2001,20,7.8,10.0
822,51,3,1,6,179,363,32,2022,6,6.6,14.8
55,20,2,11,18,33,66,36,2000,11,17.4,16.4
304,187,6,1,3,54,6,33,1970,4,12.0,10.4
105,33,27,12,21,88,158,32,1989,11,23.4,23.2
1,131,32,1,3,226,390,33,2018,4,1.4,2.6
4,214,71,1,6,329,30,40,2021,6,7.2,8.0
20,6,32,1,4,217,2178,31,2018,2,4.0,3.8
173,32,7,1,1,8,297,27,1985,5,5.8,8.6
172,3,34,11,19,42,905,39,1983,6,11.8,13.4
18,1,11,1,16,277,1524,35,2015,9,15.8,14.2
154,208,20,1,5,34,57,27,2013,3,14.8,9.6
360,170,6,15,7,78,114,23,1961,6,3.2,7.8
51,19,10,6,16,11,59,25,2003,15,14.0,12.2
30,6,4,1,1,92,289,32,2001,1,4.8,12.4
826,5,15,1,7,52,398,22,2016,9,14.8,16.4
389,191,20,11,17,3,49,37,1967,8,9.0,3.8
817,4,14,1,7,178,767,31,2020,6,8.2,8.2
5,1,14,1,4,12,25,27,2009,6,8.6,8.6
56,19,19,1,17,47,164,34,2000,7,12.6,14.8
857,1,73,1,2,38,1908,23,2024,1,2.6,2.8
840,211,7,11,17,47,13,20,2019,9,14.0,14.8
20,9,2,1,2,121,334,26,2014,3,4.4,8.8
849,3,14,11,10,54,1571,27,2022,15,18.0,15.2
262,180,52,86,19,47,91,26,1968,13,9.8,10.6
140,6,14,1,12,68,829,30,1986,3,12.0,8.0
95,6,29,20,7,68,739,36,1989,14,10.0,14.8
187,1,39,80,8,42,983,35,1981,12,3.6,13.6
305,1,30,1,12,2,1225,34,1974,3,4.5,10.4
842,9,3,1,13,27,535,23,2019,8,12.4,5.0
826,9,71,11,8,41,415,22,2016,15,9.8,5.8
18,11,4,11,14,38,42,27,2007,12,15.4,13.6
842,213,69,1,11,104,114,26,2022,14,11.2,14.0
229,64,70,10,26,27,75,26,1975,19,14.0,5.2
818,5,9,1,23,8,233,22,2012,14,15.2,15.2
95,3,27,1,1,19,601,39,1992,1,3.8,7.2
49,20,14,6,12,41,28,34,2001,16,11.2,14.2
841,51,11,11,0,51,342,27,2021,13,13.6,13.4
110,51,6,6,7,170,72,23,1983,15,16.2,15.0
89,29,28,10,20,14,61,32,1995,20,16.0,18.8
172,3,10,11,15,49,919,39,1983,6,9.8,9.2
813,208,11,1,20,68,99,29,2014,13,16.4,16.6
110,35,14,12,25,70,86,31,1990,10,23.4,20.4
830,9,76,4,3,110,590,22,2020,19,5.0,9.8
154,208,15,27,10,76,140,29,2015,13,12.2,15.0
18,11,16,22,6,49,64,27,2007,11,15.6,13.2
4,4,4,1,3,111,222,21,2003,2,4.6,7.0
187,34,70,11,10,86,385,32,1978,7,8.0,9.8
624,128,55,14,14,1,5,30,1956,8,9.0,7.4
17,19,1,22,14,107,36,26,2003,17,14.8,16.8
27,18,8,29,20,36,18,26,2005,17,12.6,11.2
15,4,1,20,7,122,246,27,2002,14,7.8,12.4
346,176,6,115,16,75,51,27,1964,8,11.0,14.8
120,18,6,13,25,5,413,30,1993,11,15.2,10.8
182,6,14,1,5,114,1132,27,1976,4,10.8,10.6
521,156,19,42,19,6,0,31,1951,20,18.2,10.0
815,1,2,1,9,39,1432,23,2013,9,17.0,11.6
2,4,1,11,18,173,549,33,2011,12,12.6,20.4
44,7,10,11,7,28,237,36,2003,5,11.8,8.6
49,17,11,1,6,55,197,33,2000,6,14.0,13.8
105,6,21,5,10,93,743,31,1988,18,21.8,9.6
159,18,32,14,25,19,568,29,1988,11,18.4,19.2
207,180,30,6,6,125,21,29,1969,15,15.2,18.4
554,105,14,121,5,25,191,35,1956,15,3.8,11.0
817,5,6,4,12,36,266,23,2013,18,14.0,16.0
807,4,10,1,7,147,689,30,2018,5,10.0,12.6
89,29,18,5,21,0,33,31,1995,12,10.0,13.4
627,154,66,11,10,34,54,44,1950,3,8.0,11.2
160,45,36,6,21,78,130,32,1984,18,20.6,13.6
35,16,2,11,13,50,104,30,2002,8,11.4,10.6
154,4,18,11,13,5,31,23,2009,13,16.8,13.8
314,63,20,11,12,17,210,28,1972,14,17.4,19.0
65,32,13,5,10,142,87,28,1992,13,19.2,15.2
613,113,19,44,22,3,156,32,1953,18,15.0,14.8
10,17,17,11,16,34,69,22,2004,15,8.6,15.0
197,58,38,16,24,96,128,30,1976,9,11.2,9.6
30,6,6,4,4,42,189,35,2004,11,1.0,2.6
31,3,21,1,3,30,185,28,2004,3,11.6,9.6
839,10,4,11,10,13,351,20,2017,5,10.0,6.8
328,66,38,5,8,84,328,27,1966,17,9.4,11.0
832,1,3,1,15,116,1737,26,2020,5,8.4,8.2
304,191,6,1,4,87,36,30,1967,1,6.4,10.4
154,208,7,65,14,51,90,28,2014,15,12.0,13.4
175,1,41,12,20,90,1032,30,1979,10,18.8,15.8
102,32,37,1,1,121,268,26,1986,1,6.4,13.8
137,34,36,2,7,144,277,29,1982,11,9.2,12.8
289,32,52,62,20,63,790,41,1970,12,11.8,22.0
830,9,17,1,16,41,453,19,2017,3,7.2,7.0
3,131,11,1,2,175,253,30,2015,8,1.4,2.4
704,133,14,53,28,1,19,48,1953,15,14.0,20.2
17,9,1,1,2,141,180,33,2010,9,14.6,7.0
839,214,80,1,16,131,128,27,2023,4,10.8,8.8
4,214,70,11,19,346,64,40,2022,10,7.4,9.0
157,49,29,13,24,28,93,29,1987,7,20.6,22.8
197,25,9,11,16,62,611,33,1979,3,7.8,10.8
49,15,21,11,14,128,342,27,1995,6,11.4,15.8
14,1,19,11,12,80,195,33,2004,7,12.6,10.4
276,32,30,11,23,0,599,28,1976,10,10.0,19.0
306,187,46,17,18,85,82,30,1967,7,13.0,8.4
31,3,14,1,2,41,206,29,2004,5,6.8,8.6
57,1,6,4,8,70,421,28,1997,20,3.8,13.2
92,30,6,6,21,4,9,32,1995,15,20.0,21.4
39,164,7,11,22,25,51,34,2011,14,21.0,18.2
842,5,14,11,9,18,478,22,2018,14,10.6,10.0
815,10,14,1,7,87,285,25,2015,6,10.6,14.2
156,25,33,69,21,4,298,32,1989,9,11.75,13.0
12,4,2,1,13,11,37,22,2008,11,13.0,11.2
66,7,19,12,16,15,277,32,2002,15,14.2,12.0
224,32,20,1,14,116,712,26,1973,6,13.6,10.0
57,1,9,36,1,41,363,30,1999,18,5.0,6.0
37,19,21,30,22,12,74,31,2002,16,7.8,9.0
328,196,46,1,2,69,37,29,1968,1,5.0,5.4
47,18,20,13,17,6,51,23,2004,15,15.8,15.2
8,6,13,1,3,244,2083,36,2016,9,4.8,6.0
175,1,39,5,14,94,1040,30,1979,19,12.6,8.4
847,131,17,1,8,108,613,26,2024,6,7.6,12.0
176,21,10,11,26,55,463,30,1982,6,9.8,12.6
20,6,32,1,1,196,2136,30,2017,4,9.2,6.4
187,1,7,1,6,22,944,36,1982,3,4.8,12.0
822,131,32,12,1,175,509,32,2021,15,3.6,3.2
823,207,11,12,20,9,59,28,2013,14,18.8,16.6
97,29,11,23,20,2,51,25,1995,18,20.0,20.6
830,9,34,1,4,88,546,21,2019,4,4.0,5.6
11,16,18,1,6,72,68,27,2004,6,7.6,3.6
65,15,8,2,16,74,323,32,1996,13,9.4,10.6
170,22,29,23,9,15,487,32,1987,16,12.0,10.8
30,131,24,1,8,286,115,42,2011,7,12.6,9.8
579,105,53,1,1,4,90,46,1957,1,2.5,10.4
822,131,69,1,9,174,507,32,2021,6,4.8,2.8
71,17,18,2,11,17,243,37,1998,12,15.6,14.4
607,105,13,1,9,2,151,23,1956,3,6.5,10.0
65,32,28,13,23,100,2,29,1994,7,6.2,8.5
196,27,39,12,24,11,435,25,1983,10,18.2,13.8
513,111,19,14,32,5,2,36,1955,13,12.6,7.5
822,131,32,1,6,136,431,30,2019,3,2.6,1.6
163,4,6,3,20,131,483,31,1980,12,7.4,12.4
79,25,7,15,22,71,173,30,1993,17,20.6,18.6
20,9,13,1,3,131,354,27,2014,5,8.0,4.2
839,10,6,1,6,34,393,21,2018,6,13.6,11.8
252,202,30,11,19,21,5,25,1975,9,14.2,18.2
2,2,2,1,5,36,72,29,2007,4,6.8,10.2
13,15,9,11,16,73,20,24,2005,10,12.0,13.2
32,9,20,6,15,4,113,23,2006,19,16.0,16.8
181,54,6,24,14,43,42,30,1982,15,14.2,17.2
156,49,11,16,24,58,112,29,1986,10,13.4,14.4
817,1,4,11,9,215,1797,32,2022,12,13.6,11.6
14,9,1,4,8,0,34,36,2008,14,10.0,1.8
118,53,34,14,14,144,95,27,1982,15,20.0,24.6
154,210,2,11,16,118,70,31,2017,13,12.6,12.6
105,18,27,12,19,12,395,37,1994,13,15.4,12.4
5,205,18,12,19,89,74,30,2011,16,15.8,17.0
9,2,11,1,7,44,91,22,2007,5,7.4,5.2
858,3,77,1,20,1,1588,22,2023,16,12.0,14.6
456,6,9,13,19,50,1791,30,1952,8,23.4,11.0
32,9,22,1,4,28,175,22,2005,9,11.8,12.2
4,4,1,1,11,17,34,26,2008,4,10.4,16.2
255,32,6,6,13,5,573,28,1977,13,10.2,4.0
437,87,20,1,11,25,20,28,1958,7,13.8,9.6
237,37,25,7,20,2,167,28,1977,11,28.5,15.6
18,1,9,61,5,199,1368,31,2011,20,3.8,7.8
20,9,22,1,1,58,209,23,2010,1,5.4,3.4
172,27,14,29,4,82,497,37,1981,20,8.4,16.4
166,27,14,12,19,48,374,30,1985,10,16.0,14.6
20,117,13,1,5,270,35,34,2021,5,15.4,15.8
8,208,17,1,4,159,4,32,2012,14,12.4,14.25
20,9,24,1,2,117,327,26,2013,1,1.0,5.2
102,1,29,4,1,82,740,29,1989,15,8.6,5.8
1,131,1,1,1,208,354,33,2018,2,3.4,2.2
197,67,70,12,18,83,9,31,1977,14,14.4,17.0
84,49,22,5,15,122,90,28,1987,20,16.4,20.8
30,131,6,32,6,293,129,43,2012,19,17.6,9.6
18,16,1,11,8,70,1,25,2005,11,4.0,14.0
13,3,2,1,7,213,1261,33,2015,6,4.8,7.4
302,32,14,16,25,1,655,27,1975,13,21.0,19.6
84,25,13,6,12,128,393,27,1986,16,12.0,12.4
815,9,13,1,0,205,632,31,2021,19,9.2,12.6
825,210,39,11,0,178,361,31,2024,18,13.2,14.2
202,6,9,101,4,20,973,29,1981,17,7.4,8.4
172,27,70,1,5,94,521,36,1980,4,7.4,11.8
839,10,71,1,10,12,349,20,2017,7,11.0,8.4
31,1,10,1,20,19,163,29,2005,2,11.8,8.4
346,37,6,60,11,13,474,33,1970,8,10.0,10.4
145,22,26,1,9,13,387,31,1990,3,7.6,8.2
123,21,38,10,12,147,399,27,1984,18,16.0,15.6
105,25,44,1,3,202,533,25,1982,1,8.8,11.8
821,15,22,11,15,33,618,23,2014,13,17.0,18.8
